accuracy,errors,error_rates,error_examples,ratio,seed,iteration
0.10333333333333333,"{'total': 300, 'correct': 31, 'skip_s2': 2, 'wrong_s2': 182, 'stuck_s2': 1, 'wrong_s3': 0, 'incomplete': 0, 'invalid': 84}","{'skip_s2': 0.006666666666666667, 'wrong_s2': 0.6066666666666667, 'stuck_s2': 0.0033333333333333335, 'wrong_s3': 0.0, 'incomplete': 0.0, 'invalid': 0.28}","{'skip_s2': [{'s1': 24, 's3': 83, 'generated': [24, 83]}, {'s1': 17, 's3': 69, 'generated': [17, 69]}]}",12,42,50000
0.08666666666666667,"{'total': 300, 'correct': 26, 'skip_s2': 2, 'wrong_s2': 186, 'stuck_s2': 1, 'wrong_s3': 0, 'incomplete': 1, 'invalid': 84}","{'skip_s2': 0.006666666666666667, 'wrong_s2': 0.62, 'stuck_s2': 0.0033333333333333335, 'wrong_s3': 0.0, 'incomplete': 0.0033333333333333335, 'invalid': 0.28}","{'skip_s2': [{'s1': 30, 's3': 85, 'generated': [30, 85]}, {'s1': 30, 's3': 85, 'generated': [30, 85]}]}",12,456,50000
0.08666666666666667,"{'total': 300, 'correct': 26, 'skip_s2': 15, 'wrong_s2': 173, 'stuck_s2': 2, 'wrong_s3': 0, 'incomplete': 1, 'invalid': 83}","{'skip_s2': 0.05, 'wrong_s2': 0.5766666666666667, 'stuck_s2': 0.006666666666666667, 'wrong_s3': 0.0, 'incomplete': 0.0033333333333333335, 'invalid': 0.27666666666666667}","{'skip_s2': [{'s1': 14, 's3': 78, 'generated': [14, 78]}, {'s1': 14, 's3': 78, 'generated': [14, 78]}, {'s1': 20, 's3': 81, 'generated': [20, 81]}]}",15,123,50000
0.11666666666666667,"{'total': 300, 'correct': 35, 'skip_s2': 0, 'wrong_s2': 190, 'stuck_s2': 0, 'wrong_s3': 0, 'incomplete': 3, 'invalid': 72}","{'skip_s2': 0.0, 'wrong_s2': 0.6333333333333333, 'stuck_s2': 0.0, 'wrong_s3': 0.0, 'incomplete': 0.01, 'invalid': 0.24}",{},15,42,50000
0.09,"{'total': 300, 'correct': 27, 'skip_s2': 9, 'wrong_s2': 177, 'stuck_s2': 1, 'wrong_s3': 1, 'incomplete': 0, 'invalid': 85}","{'skip_s2': 0.03, 'wrong_s2': 0.59, 'stuck_s2': 0.0033333333333333335, 'wrong_s3': 0.0033333333333333335, 'incomplete': 0.0, 'invalid': 0.2833333333333333}","{'skip_s2': [{'s1': 20, 's3': 72, 'generated': [20, 72]}, {'s1': 5, 's3': 81, 'generated': [5, 81]}, {'s1': 2, 's3': 82, 'generated': [2, 82]}]}",15,456,50000
0.02,"{'total': 300, 'correct': 6, 'skip_s2': 27, 'wrong_s2': 155, 'stuck_s2': 13, 'wrong_s3': 11, 'incomplete': 8, 'invalid': 80}","{'skip_s2': 0.09, 'wrong_s2': 0.5166666666666667, 'stuck_s2': 0.043333333333333335, 'wrong_s3': 0.03666666666666667, 'incomplete': 0.02666666666666667, 'invalid': 0.26666666666666666}","{'skip_s2': [{'s1': 18, 's3': 83, 'generated': [18, 83]}, {'s1': 5, 's3': 81, 'generated': [5, 81]}, {'s1': 7, 's3': 88, 'generated': [7, 88]}]}",1,123,50000
0.05,"{'total': 300, 'correct': 15, 'skip_s2': 43, 'wrong_s2': 131, 'stuck_s2': 24, 'wrong_s3': 12, 'incomplete': 4, 'invalid': 71}","{'skip_s2': 0.14333333333333334, 'wrong_s2': 0.43666666666666665, 'stuck_s2': 0.08, 'wrong_s3': 0.04, 'incomplete': 0.013333333333333334, 'invalid': 0.23666666666666666}","{'skip_s2': [{'s1': 4, 's3': 76, 'generated': [4, 76]}, {'s1': 24, 's3': 80, 'generated': [24, 80]}, {'s1': 4, 's3': 81, 'generated': [4, 81]}]}",1,42,50000
0.023333333333333334,"{'total': 300, 'correct': 7, 'skip_s2': 38, 'wrong_s2': 172, 'stuck_s2': 8, 'wrong_s3': 0, 'incomplete': 15, 'invalid': 60}","{'skip_s2': 0.12666666666666668, 'wrong_s2': 0.5733333333333334, 'stuck_s2': 0.02666666666666667, 'wrong_s3': 0.0, 'incomplete': 0.05, 'invalid': 0.2}","{'skip_s2': [{'s1': 19, 's3': 74, 'generated': [19, 74]}, {'s1': 17, 's3': 81, 'generated': [17, 81]}, {'s1': 27, 's3': 81, 'generated': [27, 81]}]}",1,456,50000
0.08333333333333333,"{'total': 300, 'correct': 25, 'skip_s2': 3, 'wrong_s2': 219, 'stuck_s2': 0, 'wrong_s3': 1, 'incomplete': 0, 'invalid': 52}","{'skip_s2': 0.01, 'wrong_s2': 0.73, 'stuck_s2': 0.0, 'wrong_s3': 0.0033333333333333335, 'incomplete': 0.0, 'invalid': 0.17333333333333334}","{'skip_s2': [{'s1': 17, 's3': 69, 'generated': [17, 69]}, {'s1': 28, 's3': 69, 'generated': [28, 69]}, {'s1': 5, 's3': 70, 'generated': [5, 70]}]}",20,123,50000
0.10333333333333333,"{'total': 300, 'correct': 31, 'skip_s2': 0, 'wrong_s2': 200, 'stuck_s2': 3, 'wrong_s3': 0, 'incomplete': 0, 'invalid': 66}","{'skip_s2': 0.0, 'wrong_s2': 0.6666666666666666, 'stuck_s2': 0.01, 'wrong_s3': 0.0, 'incomplete': 0.0, 'invalid': 0.22}",{},20,42,50000
0.08333333333333333,"{'total': 300, 'correct': 25, 'skip_s2': 2, 'wrong_s2': 214, 'stuck_s2': 0, 'wrong_s3': 1, 'incomplete': 1, 'invalid': 57}","{'skip_s2': 0.006666666666666667, 'wrong_s2': 0.7133333333333334, 'stuck_s2': 0.0, 'wrong_s3': 0.0033333333333333335, 'incomplete': 0.0033333333333333335, 'invalid': 0.19}","{'skip_s2': [{'s1': 5, 's3': 70, 'generated': [5, 70]}, {'s1': 17, 's3': 79, 'generated': [17, 79]}]}",20,456,50000
0.05,"{'total': 300, 'correct': 15, 'skip_s2': 21, 'wrong_s2': 177, 'stuck_s2': 5, 'wrong_s3': 1, 'incomplete': 7, 'invalid': 74}","{'skip_s2': 0.07, 'wrong_s2': 0.59, 'stuck_s2': 0.016666666666666666, 'wrong_s3': 0.0033333333333333335, 'incomplete': 0.023333333333333334, 'invalid': 0.24666666666666667}","{'skip_s2': [{'s1': 24, 's3': 68, 'generated': [24, 68]}, {'s1': 8, 's3': 81, 'generated': [8, 81]}, {'s1': 22, 's3': 82, 'generated': [22, 82]}]}",2,123,50000
0.03666666666666667,"{'total': 300, 'correct': 11, 'skip_s2': 22, 'wrong_s2': 156, 'stuck_s2': 5, 'wrong_s3': 2, 'incomplete': 9, 'invalid': 95}","{'skip_s2': 0.07333333333333333, 'wrong_s2': 0.52, 'stuck_s2': 0.016666666666666666, 'wrong_s3': 0.006666666666666667, 'incomplete': 0.03, 'invalid': 0.31666666666666665}","{'skip_s2': [{'s1': 24, 's3': 68, 'generated': [24, 68]}, {'s1': 26, 's3': 83, 'generated': [26, 83]}, {'s1': 22, 's3': 89, 'generated': [22, 89]}]}",2,42,50000
0.043333333333333335,"{'total': 300, 'correct': 13, 'skip_s2': 30, 'wrong_s2': 173, 'stuck_s2': 6, 'wrong_s3': 2, 'incomplete': 2, 'invalid': 74}","{'skip_s2': 0.1, 'wrong_s2': 0.5766666666666667, 'stuck_s2': 0.02, 'wrong_s3': 0.006666666666666667, 'incomplete': 0.006666666666666667, 'invalid': 0.24666666666666667}","{'skip_s2': [{'s1': 25, 's3': 81, 'generated': [25, 81]}, {'s1': 12, 's3': 76, 'generated': [12, 76]}, {'s1': 16, 's3': 82, 'generated': [16, 82]}]}",2,456,50000
0.06333333333333334,"{'total': 300, 'correct': 19, 'skip_s2': 8, 'wrong_s2': 176, 'stuck_s2': 4, 'wrong_s3': 4, 'incomplete': 7, 'invalid': 82}","{'skip_s2': 0.02666666666666667, 'wrong_s2': 0.5866666666666667, 'stuck_s2': 0.013333333333333334, 'wrong_s3': 0.013333333333333334, 'incomplete': 0.023333333333333334, 'invalid': 0.2733333333333333}","{'skip_s2': [{'s1': 21, 's3': 84, 'generated': [21, 84]}, {'s1': 8, 's3': 72, 'generated': [8, 72]}, {'s1': 21, 's3': 84, 'generated': [21, 84]}]}",3,123,50000
0.06666666666666667,"{'total': 300, 'correct': 20, 'skip_s2': 11, 'wrong_s2': 183, 'stuck_s2': 7, 'wrong_s3': 0, 'incomplete': 5, 'invalid': 74}","{'skip_s2': 0.03666666666666667, 'wrong_s2': 0.61, 'stuck_s2': 0.023333333333333334, 'wrong_s3': 0.0, 'incomplete': 0.016666666666666666, 'invalid': 0.24666666666666667}","{'skip_s2': [{'s1': 25, 's3': 79, 'generated': [25, 79]}, {'s1': 20, 's3': 75, 'generated': [20, 75]}, {'s1': 29, 's3': 88, 'generated': [29, 88]}]}",3,42,50000
0.07666666666666666,"{'total': 300, 'correct': 23, 'skip_s2': 14, 'wrong_s2': 166, 'stuck_s2': 1, 'wrong_s3': 0, 'incomplete': 3, 'invalid': 93}","{'skip_s2': 0.04666666666666667, 'wrong_s2': 0.5533333333333333, 'stuck_s2': 0.0033333333333333335, 'wrong_s3': 0.0, 'incomplete': 0.01, 'invalid': 0.31}","{'skip_s2': [{'s1': 11, 's3': 77, 'generated': [11, 77]}, {'s1': 20, 's3': 82, 'generated': [20, 82]}, {'s1': 22, 's3': 81, 'generated': [22, 81]}]}",3,456,50000
0.09333333333333334,"{'total': 300, 'correct': 28, 'skip_s2': 11, 'wrong_s2': 181, 'stuck_s2': 1, 'wrong_s3': 0, 'incomplete': 3, 'invalid': 76}","{'skip_s2': 0.03666666666666667, 'wrong_s2': 0.6033333333333334, 'stuck_s2': 0.0033333333333333335, 'wrong_s3': 0.0, 'incomplete': 0.01, 'invalid': 0.25333333333333335}","{'skip_s2': [{'s1': 16, 's3': 80, 'generated': [16, 80]}, {'s1': 27, 's3': 84, 'generated': [27, 84]}, {'s1': 31, 's3': 69, 'generated': [31, 69]}]}",4,123,50000
0.07666666666666666,"{'total': 300, 'correct': 23, 'skip_s2': 18, 'wrong_s2': 169, 'stuck_s2': 3, 'wrong_s3': 1, 'incomplete': 10, 'invalid': 76}","{'skip_s2': 0.06, 'wrong_s2': 0.5633333333333334, 'stuck_s2': 0.01, 'wrong_s3': 0.0033333333333333335, 'incomplete': 0.03333333333333333, 'invalid': 0.25333333333333335}","{'skip_s2': [{'s1': 3, 's3': 78, 'generated': [3, 78]}, {'s1': 5, 's3': 87, 'generated': [5, 87]}, {'s1': 27, 's3': 78, 'generated': [27, 78]}]}",4,42,50000
0.09,"{'total': 300, 'correct': 27, 'skip_s2': 10, 'wrong_s2': 173, 'stuck_s2': 4, 'wrong_s3': 0, 'incomplete': 4, 'invalid': 82}","{'skip_s2': 0.03333333333333333, 'wrong_s2': 0.5766666666666667, 'stuck_s2': 0.013333333333333334, 'wrong_s3': 0.0, 'incomplete': 0.013333333333333334, 'invalid': 0.2733333333333333}","{'skip_s2': [{'s1': 4, 's3': 82, 'generated': [4, 82]}, {'s1': 4, 's3': 72, 'generated': [4, 72]}, {'s1': 19, 's3': 78, 'generated': [19, 78]}]}",4,456,50000
0.043333333333333335,"{'total': 300, 'correct': 13, 'skip_s2': 12, 'wrong_s2': 200, 'stuck_s2': 2, 'wrong_s3': 2, 'incomplete': 3, 'invalid': 68}","{'skip_s2': 0.04, 'wrong_s2': 0.6666666666666666, 'stuck_s2': 0.006666666666666667, 'wrong_s3': 0.006666666666666667, 'incomplete': 0.01, 'invalid': 0.22666666666666666}","{'skip_s2': [{'s1': 21, 's3': 84, 'generated': [21, 84]}, {'s1': 24, 's3': 77, 'generated': [24, 77]}, {'s1': 21, 's3': 84, 'generated': [21, 84]}]}",5,123,50000
0.04666666666666667,"{'total': 300, 'correct': 14, 'skip_s2': 13, 'wrong_s2': 207, 'stuck_s2': 4, 'wrong_s3': 1, 'incomplete': 2, 'invalid': 59}","{'skip_s2': 0.043333333333333335, 'wrong_s2': 0.69, 'stuck_s2': 0.013333333333333334, 'wrong_s3': 0.0033333333333333335, 'incomplete': 0.006666666666666667, 'invalid': 0.19666666666666666}","{'skip_s2': [{'s1': 28, 's3': 81, 'generated': [28, 81]}, {'s1': 14, 's3': 79, 'generated': [14, 79]}, {'s1': 21, 's3': 81, 'generated': [21, 81]}]}",5,42,50000
0.043333333333333335,"{'total': 300, 'correct': 13, 'skip_s2': 16, 'wrong_s2': 202, 'stuck_s2': 8, 'wrong_s3': 0, 'incomplete': 0, 'invalid': 61}","{'skip_s2': 0.05333333333333334, 'wrong_s2': 0.6733333333333333, 'stuck_s2': 0.02666666666666667, 'wrong_s3': 0.0, 'incomplete': 0.0, 'invalid': 0.20333333333333334}","{'skip_s2': [{'s1': 5, 's3': 81, 'generated': [5, 81]}, {'s1': 29, 's3': 81, 'generated': [29, 81]}, {'s1': 6, 's3': 62, 'generated': [6, 62]}]}",5,42,50000
0.08,"{'total': 300, 'correct': 24, 'skip_s2': 19, 'wrong_s2': 174, 'stuck_s2': 1, 'wrong_s3': 5, 'incomplete': 5, 'invalid': 72}","{'skip_s2': 0.06333333333333334, 'wrong_s2': 0.58, 'stuck_s2': 0.0033333333333333335, 'wrong_s3': 0.016666666666666666, 'incomplete': 0.016666666666666666, 'invalid': 0.24}","{'skip_s2': [{'s1': 18, 's3': 72, 'generated': [18, 72]}, {'s1': 20, 's3': 75, 'generated': [20, 75]}, {'s1': 4, 's3': 88, 'generated': [4, 88]}]}",5,456,50000
0.06,"{'total': 300, 'correct': 18, 'skip_s2': 12, 'wrong_s2': 179, 'stuck_s2': 1, 'wrong_s3': 0, 'incomplete': 8, 'invalid': 82}","{'skip_s2': 0.04, 'wrong_s2': 0.5966666666666667, 'stuck_s2': 0.0033333333333333335, 'wrong_s3': 0.0, 'incomplete': 0.02666666666666667, 'invalid': 0.2733333333333333}","{'skip_s2': [{'s1': 27, 's3': 81, 'generated': [27, 81]}, {'s1': 27, 's3': 82, 'generated': [27, 82]}, {'s1': 18, 's3': 72, 'generated': [18, 72]}]}",6,123,50000
0.06,"{'total': 300, 'correct': 18, 'skip_s2': 12, 'wrong_s2': 181, 'stuck_s2': 3, 'wrong_s3': 2, 'incomplete': 5, 'invalid': 79}","{'skip_s2': 0.04, 'wrong_s2': 0.6033333333333334, 'stuck_s2': 0.01, 'wrong_s3': 0.006666666666666667, 'incomplete': 0.016666666666666666, 'invalid': 0.2633333333333333}","{'skip_s2': [{'s1': 5, 's3': 81, 'generated': [5, 81]}, {'s1': 8, 's3': 76, 'generated': [8, 76]}, {'s1': 5, 's3': 63, 'generated': [5, 63]}]}",6,42,50000
0.06666666666666667,"{'total': 300, 'correct': 20, 'skip_s2': 27, 'wrong_s2': 166, 'stuck_s2': 4, 'wrong_s3': 0, 'incomplete': 1, 'invalid': 82}","{'skip_s2': 0.09, 'wrong_s2': 0.5533333333333333, 'stuck_s2': 0.013333333333333334, 'wrong_s3': 0.0, 'incomplete': 0.0033333333333333335, 'invalid': 0.2733333333333333}","{'skip_s2': [{'s1': 5, 's3': 79, 'generated': [5, 79]}, {'s1': 21, 's3': 81, 'generated': [21, 81]}, {'s1': 12, 's3': 88, 'generated': [12, 88]}]}",6,456,50000
0.07,"{'total': 300, 'correct': 21, 'skip_s2': 12, 'wrong_s2': 168, 'stuck_s2': 0, 'wrong_s3': 1, 'incomplete': 7, 'invalid': 91}","{'skip_s2': 0.04, 'wrong_s2': 0.56, 'stuck_s2': 0.0, 'wrong_s3': 0.0033333333333333335, 'incomplete': 0.023333333333333334, 'invalid': 0.30333333333333334}","{'skip_s2': [{'s1': 30, 's3': 81, 'generated': [30, 81]}, {'s1': 30, 's3': 81, 'generated': [30, 81]}, {'s1': 31, 's3': 81, 'generated': [31, 81]}]}",7,123,50000
0.05,"{'total': 300, 'correct': 15, 'skip_s2': 8, 'wrong_s2': 189, 'stuck_s2': 4, 'wrong_s3': 2, 'incomplete': 1, 'invalid': 81}","{'skip_s2': 0.02666666666666667, 'wrong_s2': 0.63, 'stuck_s2': 0.013333333333333334, 'wrong_s3': 0.006666666666666667, 'incomplete': 0.0033333333333333335, 'invalid': 0.27}","{'skip_s2': [{'s1': 21, 's3': 84, 'generated': [21, 84]}, {'s1': 24, 's3': 83, 'generated': [24, 83]}, {'s1': 2, 's3': 81, 'generated': [2, 81]}]}",7,42,50000
0.06666666666666667,"{'total': 300, 'correct': 20, 'skip_s2': 14, 'wrong_s2': 200, 'stuck_s2': 1, 'wrong_s3': 0, 'incomplete': 0, 'invalid': 65}","{'skip_s2': 0.04666666666666667, 'wrong_s2': 0.6666666666666666, 'stuck_s2': 0.0033333333333333335, 'wrong_s3': 0.0, 'incomplete': 0.0, 'invalid': 0.21666666666666667}","{'skip_s2': [{'s1': 31, 's3': 78, 'generated': [31, 78]}, {'s1': 11, 's3': 78, 'generated': [11, 78]}, {'s1': 22, 's3': 88, 'generated': [22, 88]}]}",7,456,50000
0.04666666666666667,"{'total': 300, 'correct': 14, 'skip_s2': 14, 'wrong_s2': 157, 'stuck_s2': 6, 'wrong_s3': 0, 'incomplete': 2, 'invalid': 107}","{'skip_s2': 0.04666666666666667, 'wrong_s2': 0.5233333333333333, 'stuck_s2': 0.02, 'wrong_s3': 0.0, 'incomplete': 0.006666666666666667, 'invalid': 0.3566666666666667}","{'skip_s2': [{'s1': 26, 's3': 81, 'generated': [26, 81]}, {'s1': 31, 's3': 81, 'generated': [31, 81]}, {'s1': 4, 's3': 81, 'generated': [4, 81]}]}",8,123,50000
0.07666666666666666,"{'total': 300, 'correct': 23, 'skip_s2': 5, 'wrong_s2': 170, 'stuck_s2': 2, 'wrong_s3': 2, 'incomplete': 2, 'invalid': 96}","{'skip_s2': 0.016666666666666666, 'wrong_s2': 0.5666666666666667, 'stuck_s2': 0.006666666666666667, 'wrong_s3': 0.006666666666666667, 'incomplete': 0.006666666666666667, 'invalid': 0.32}","{'skip_s2': [{'s1': 27, 's3': 76, 'generated': [27, 76]}, {'s1': 27, 's3': 76, 'generated': [27, 76]}, {'s1': 16, 's3': 79, 'generated': [16, 79]}]}",8,42,50000
0.06333333333333334,"{'total': 300, 'correct': 19, 'skip_s2': 11, 'wrong_s2': 199, 'stuck_s2': 0, 'wrong_s3': 0, 'incomplete': 1, 'invalid': 70}","{'skip_s2': 0.03666666666666667, 'wrong_s2': 0.6633333333333333, 'stuck_s2': 0.0, 'wrong_s3': 0.0, 'incomplete': 0.0033333333333333335, 'invalid': 0.23333333333333334}","{'skip_s2': [{'s1': 23, 's3': 89, 'generated': [23, 89]}, {'s1': 12, 's3': 72, 'generated': [12, 72]}, {'s1': 2, 's3': 82, 'generated': [2, 82]}]}",8,456,50000
